run_id,operation,profile,mean_point_ns,mean_ci_low_ns,mean_ci_high_ns,median_point_ns,median_ci_low_ns,median_ci_high_ns
2026-08-15-m4-ac-run04,negotiation,MLKEM1024,2.7348071777313767,2.7222595771816045,2.7490795910500743,2.7258331270294276,2.7183256591371148,2.7311404983883616
2026-08-15-m4-ac-run04,negotiation,MLKEM768,2.729185195356123,2.7134590028503336,2.7459500315488743,2.7010011258714215,2.6837034738570495,2.7204998444452975
2026-08-15-m4-ac-run04,negotiation,MLKEM768-X25519,2.7410103570139053,2.7259296522398593,2.7583474630315936,2.7211617912466535,2.7133272745679333,2.7304103756407745
2026-08-15-m4-ac-run04,open_1k,MLKEM1024,6129.649415455811,6123.183626501006,6136.738989448148,6117.423338014982,6113.326666666667,6123.471544715447
2026-08-15-m4-ac-run04,open_1k,MLKEM768,6197.936315908246,6171.617846014856,6226.720265375446,6130.328612926653,6115.2175374882845,6164.174990483441
2026-08-15-m4-ac-run04,open_1k,MLKEM768-X25519,6119.54437462463,6113.345179216035,6127.179599131539,6112.233928571428,6107.521794871795,6114.495886752136
2026-08-15-m4-ac-run04,profile_resolution,MLKEM1024,14.647246861095159,14.634362895516842,14.660407903402808,14.633472453917488,14.622815857342573,14.64033195410303
2026-08-15-m4-ac-run04,profile_resolution,MLKEM768,14.34082398903513,14.322557580459936,14.358879153982395,14.346954722864005,14.331860730923928,14.368017376081484
2026-08-15-m4-ac-run04,profile_resolution,MLKEM768-X25519,12.495811664159534,12.488680788004281,12.50439666744839,12.488230535135846,12.48599365014509,12.491431112761274
2026-08-15-m4-ac-run04,seal_1k,MLKEM1024,6119.435327557584,6103.891489842426,6141.367867473325,6097.216570234652,6093.597222222223,6100.967479674797
2026-08-15-m4-ac-run04,seal_1k,MLKEM768,6106.090755059614,6094.228632930891,6120.8312014911435,6087.251627906977,6084.807843137255,6089.637849215462
2026-08-15-m4-ac-run04,seal_1k,MLKEM768-X25519,6131.924693391279,6108.526924312157,6162.594185857688,6094.015891734052,6088.611111111111,6098.297619047619
2026-08-15-m4-ac-run06,activate_receiver,MLKEM1024,209767.65799591376,209264.58409479796,210229.88115352707,210499.78964032422,210076.20433097405,210866.0517010998
2026-08-15-m4-ac-run06,activate_receiver,MLKEM768,140719.98013814216,140245.88627193865,141152.53049122167,141495.118869863,141244.1913360693,141656.79347826086
2026-08-15-m4-ac-run06,activate_receiver,MLKEM768-X25519,169946.95534880244,169387.17821781963,170498.21169060384,170609.6212985194,170311.1913496377,171050.35303482588
2026-08-15-m4-ac-run06,activate_sender,MLKEM1024,134491.7980741968,134360.29767863682,134662.1967641498,134331.2013392857,134295.333994709,134370.49695020053
2026-08-15-m4-ac-run06,activate_sender,MLKEM768,88366.1018565202,88282.13193067771,88443.4093106314,88350.08201484894,88328.53571428571,88376.43869359362
2026-08-15-m4-ac-run06,activate_sender,MLKEM768-X25519,123505.77296047013,122913.14328973729,124339.4799022564,121991.82981397687,121887.63657407407,122301.15844155844
2026-08-15-m4-ac-run06,binding,MLKEM1024,15.951611018996589,15.905322492604059,16.000330967354106,15.880827790792283,15.852707029155233,16.030345722513538
2026-08-15-m4-ac-run06,binding,MLKEM768,15.886290965809566,15.844696652457607,15.931249539588904,15.841560504554877,15.837113402061856,15.858017512384523
2026-08-15-m4-ac-run06,binding,MLKEM768-X25519,16.067501914987407,16.010749745243025,16.127157797392847,15.886905508969129,15.841867212143157,16.058098264606336
2026-08-15-m4-ac-run06,establish_channel,MLKEM1024,333462.78555429226,332892.6017562239,334136.7886086575,332511.7831632653,332423.52722184535,332579.91543513956
2026-08-15-m4-ac-run06,establish_channel,MLKEM768,219136.55229999576,218903.68044835882,219413.63033710537,218822.9649062049,218739.56602891156,218907.915
2026-08-15-m4-ac-run06,establish_channel,MLKEM768-X25519,279912.64389902784,279755.11497823684,280106.42500352603,279767.65132139815,279721.0159219312,279892.45774647885
2026-08-15-m4-ac-run06,negotiation,MLKEM1024,2.763550860546973,2.748838555423202,2.7793103357889755,2.7456551230171,2.7266665024184156,2.7684167215140776
2026-08-15-m4-ac-run06,negotiation,MLKEM768,2.8641391104874008,2.832301335742629,2.896087018897057,2.874686416987284,2.762309413270837,2.9425240141557127
2026-08-15-m4-ac-run06,negotiation,MLKEM768-X25519,2.750453084509684,2.73639132876979,2.7653508865491063,2.7340391201025245,2.7170275008195732,2.7517863837317957
